name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,price_level,price_numeric,years_since_award,decade,hemisphere,continent,has_url,name_length,name_word_count,distance_to_ny,city_restaurant_density,climate_zone,coastal_proximity
Maude,2019,34.064346,-118.39904,Los Angeles,California,90212,Modern,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1,Very Expensive,4,6,2010,Northern,Americas,True,5,1,3948.2600433626085,24,Subtropical,Inland
Mori Sushi,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1,Very Expensive,4,6,2010,Northern,Americas,True,10,2,3953.302594291783,24,Subtropical,Inland
Trois Mec,2019,34.084255,-118.33851,Los Angeles,California,90028,Modern,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1,Very Expensive,4,6,2010,Northern,Americas,True,9,2,3942.2668237661037,24,Subtropical,Inland
Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1,Expensive,3,6,2010,Northern,Americas,True,13,2,3942.343682737724,24,Subtropical,Inland
Kali,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1,Expensive,3,6,2010,Northern,Americas,True,4,1,3941.129576507938,24,Subtropical,Inland
Le Comptoir,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1,Very Expensive,4,6,2010,Northern,Americas,True,11,2,3940.01504607982,24,Subtropical,Inland
Q Sushi,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1,Very Expensive,4,6,2010,Northern,Americas,True,7,2,3937.008961597339,24,Subtropical,Inland
Shibumi,2019,34.044155,-118.256134,Los Angeles,California,90014,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1,Very Expensive,4,6,2010,Northern,Americas,True,7,1,3937.157171883046,24,Subtropical,Inland
Hayato,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1,Very Expensive,4,6,2010,Northern,Americas,True,6,1,3936.5244812482133,24,Subtropical,Inland
Bistro Na's,2019,34.104412,-118.07159,Los Angeles,California,91780,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1,Moderate,2,6,2010,Northern,Americas,True,11,2,3918.9048057077152,24,Subtropical,Inland
Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1,Very Expensive,4,6,2010,Northern,Americas,True,14,3,3944.365296006351,24,Subtropical,Inland
Taco María,2019,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1,Expensive,3,6,2010,Northern,Americas,True,10,2,3925.2820878348707,2,Subtropical,Inland
Hana re,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1,Very Expensive,4,6,2010,Northern,Americas,True,7,2,3922.841892245053,2,Subtropical,Inland
